                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5162,                 38.623,                0.99899,                      0,                      0,                      0,                      0,                 3.2513,                 18.342,                0.86412,                0.00052,                0.00052,                0.00052
                      2,                 3.5865,                 17.299,                0.98729,                0.00013,                 0.0396,                  7e-05,                  1e-05,                 3.5957,                 14.138,                0.86063,              0.0010495,              0.0010495,              0.0010495
                      3,                 3.1873,                 12.918,                0.91557,                 0.0009,                0.26733,                0.03288,                0.00721,                 2.8837,                 7.8896,                0.77247,              0.0015683,              0.0015683,              0.0015683
                      4,                 3.4653,                 11.885,                0.92111,                 0.7578,                  0.155,                 0.2589,                 0.0647,                 3.0996,                 4.5758,                0.81753,              0.0019406,              0.0019406,              0.0019406
                      5,                 3.1801,                 8.8832,                0.91005,                0.51762,                0.11881,                0.11219,                0.01968,                 3.6166,                 4.4886,                0.82807,              0.0019208,              0.0019208,              0.0019208
                      6,                 3.1683,                  7.166,                0.92158,                0.32862,                0.10891,                0.07919,                0.01648,                 2.8977,                 5.3679,                0.80347,               0.001901,               0.001901,               0.001901
                      7,                 3.1167,                 6.9111,                0.92512,                0.81755,                0.13325,                0.21557,                0.05882,                 2.7073,                 3.2506,                0.76708,              0.0018812,              0.0018812,              0.0018812
                      8,                 3.0692,                 5.2706,                0.91288,                0.37462,                0.06931,                0.10269,                 0.0246,                 3.3504,                 4.5825,                 0.8393,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.9311,                 4.2525,                0.90812,                0.54368,                0.25743,                0.24222,                0.05676,                 3.1145,                 3.6109,                0.85017,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.9741,                 4.2567,                0.90104,                0.29227,                0.15842,                0.08518,                0.01694,                 3.4051,                 1.9658,                0.88004,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.8756,                 3.3144,                0.88157,                0.36259,                0.23762,                0.16514,                0.03599,                 3.0141,                 1.8167,                0.85536,               0.001802,               0.001802,               0.001802
                     12,                 2.8319,                 3.1595,                 0.8732,                0.57961,                0.36634,                0.42075,                0.12985,                 2.2602,                 1.8252,                0.81395,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.7953,                 3.0336,                0.87174,                0.70619,                0.45219,                0.48224,                0.13192,                 2.4461,                  1.506,                0.82137,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.8092,                 2.6454,                0.88876,                0.51056,                0.37624,                0.32736,                0.07225,                 2.6176,                 1.5253,                0.79995,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.9922,                 2.5395,                0.89437,                0.46277,                0.27723,                0.24827,                 0.0632,                 2.9511,                 1.7202,                0.81417,              0.0017228,              0.0017228,              0.0017228
                     16,                  2.789,                 2.2306,                0.87729,                 0.6184,                0.33695,                0.36598,                0.09446,                 2.6265,                 1.6894,                0.82338,               0.001703,               0.001703,               0.001703
                     17,                 2.6046,                 2.0587,                0.86765,                0.54399,                0.26733,                0.33046,                0.11582,                 2.4257,                  2.069,                0.81221,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.7284,                 2.1215,                0.86251,                0.57857,                0.41584,                0.39741,                0.12258,                 2.4696,                 1.5279,                0.80257,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.7485,                 2.0161,                0.86913,                0.55193,                0.26733,                0.35991,                0.11143,                 2.4645,                 2.0516,                0.81478,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.6275,                 1.8355,                 0.8618,                0.44324,                0.37624,                 0.3645,                 0.1116,                 2.1564,                 1.9807,                 0.8012,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.5413,                 1.7686,                0.85636,                0.55007,                0.39948,                0.36771,                0.10763,                 2.5044,                 1.9155,                0.81238,               0.001604,               0.001604,               0.001604
                     22,                 2.5583,                 1.6967,                0.85689,                0.56429,                0.30776,                0.34223,                0.08824,                 2.9069,                 1.4392,                0.81924,              0.0015842,              0.0015842,              0.0015842
                     23,                    2.6,                 1.7182,                0.85854,                 0.7226,                0.51485,                0.57596,                0.18271,                 2.0467,                 1.2198,                0.79873,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.5592,                  1.763,                0.84849,                0.55558,                0.45545,                0.45654,                0.14431,                 2.1561,                 1.3669,                0.79362,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.5115,                 1.6849,                0.87613,                0.59406,                0.54455,                0.50736,                0.16371,                 2.3749,                 1.3293,                0.79846,              0.0015248,              0.0015248,              0.0015248
                     26,                 2.6685,                 1.6727,                0.85794,                0.56329,                0.47525,                0.39815,                0.09805,                  2.701,                 1.4982,                0.81183,               0.001505,               0.001505,               0.001505
                     27,                 2.6105,                 1.7152,                0.86611,                0.59945,                0.53465,                0.51528,                0.16529,                 2.2256,                 1.1782,                0.80252,              0.0014852,              0.0014852,              0.0014852
                     28,                  2.562,                 1.5769,                0.87739,                0.80602,                0.56436,                0.63771,                0.22564,                 2.2352,                 1.3177,                 0.7997,              0.0014654,              0.0014654,              0.0014654
                     29,                 2.4894,                 1.4638,                 0.8777,                0.67456,                0.40594,                0.50691,                 0.1447,                 2.5101,                 1.2695,                0.80282,              0.0014456,              0.0014456,              0.0014456
                     30,                   2.44,                 1.4137,                0.86744,                0.64763,                0.49505,                0.52754,                 0.1906,                 2.0754,                 1.1784,                0.79563,              0.0014258,              0.0014258,              0.0014258
                     31,                 2.4903,                 1.3567,                0.86138,                0.75674,                0.36964,                0.59754,                0.24498,                 2.0245,                 1.4586,                0.80029,               0.001406,               0.001406,               0.001406
                     32,                 2.5028,                 1.5599,                 0.8308,                 0.7055,                0.55446,                0.55658,                0.19798,                 2.1469,                 1.1282,                0.80048,              0.0013862,              0.0013862,              0.0013862
                     33,                 2.3678,                 1.4011,                0.84249,                 0.7004,                0.56436,                0.57495,                0.21395,                 1.8603,                 1.1324,                 0.7863,              0.0013664,              0.0013664,              0.0013664
                     34,                 2.4472,                 1.3717,                0.86099,                0.67495,                0.51399,                0.56331,                0.18308,                 1.9002,                 1.1042,                0.77919,              0.0013466,              0.0013466,              0.0013466
                     35,                 2.3866,                  1.393,                0.83631,                0.84854,                0.49928,                0.60566,                0.22662,                 1.9487,                 1.0516,                0.78941,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.3907,                 1.5014,                0.83576,                0.50533,                0.29703,                0.31069,                0.07987,                 2.6935,                 1.1205,                0.81907,               0.001307,               0.001307,               0.001307
                     37,                 2.4682,                 1.4661,                0.85344,                0.62978,                0.47163,                0.47062,                0.14835,                 2.4732,                 1.1654,                0.80502,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.5147,                 1.4589,                 0.8571,                0.74809,                0.54455,                0.57944,                0.21797,                 1.8471,                 1.1557,                0.78869,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.5062,                 1.3413,                0.84397,                0.76523,                0.58094,                0.60534,                0.22184,                 2.2402,                 1.1278,                0.80068,              0.0012476,              0.0012476,              0.0012476
                     40,                 2.3034,                 1.2191,                 0.8481,                0.69265,                0.53465,                0.56456,                0.22522,                  2.078,                 1.1403,                0.79781,              0.0012278,              0.0012278,              0.0012278
                     41,                 2.4732,                 1.3491,                0.85296,                0.79019,                0.63366,                0.67357,                0.23605,                 2.0413,                 1.1664,                0.79884,               0.001208,               0.001208,               0.001208
                     42,                 2.3582,                 1.3175,                0.84296,                0.82828,                0.52532,                0.64361,                0.23369,                 2.1727,                 1.4844,                0.79363,              0.0011882,              0.0011882,              0.0011882
                     43,                 2.3214,                  1.242,                 0.8574,                0.77356,                0.47354,                0.58138,                0.20798,                 2.3197,                 1.1762,                0.79575,              0.0011684,              0.0011684,              0.0011684
                     44,                 2.4599,                 1.3921,                0.83724,                0.87592,                0.55918,                0.64998,                0.23911,                 2.0704,                 1.1616,                0.79067,              0.0011486,              0.0011486,              0.0011486
                     45,                 2.4072,                 1.3026,                0.85668,                0.82162,                0.50167,                0.61608,                0.23281,                 2.0776,                 1.1805,                0.79372,              0.0011288,              0.0011288,              0.0011288
                     46,                 2.2355,                 1.2147,                0.85702,                0.76347,                0.47942,                 0.5643,                0.23442,                 2.2019,                 1.0813,                0.79908,               0.001109,               0.001109,               0.001109
                     47,                  2.399,                 1.2191,                0.84025,                0.70725,                0.50495,                0.52925,                0.24096,                 2.0459,                 1.0899,                 0.7937,              0.0010892,              0.0010892,              0.0010892
                     48,                 2.3175,                 1.2005,                0.83872,                0.80249,                0.54455,                0.64396,                0.23758,                 2.0574,                 1.0876,                0.78324,              0.0010694,              0.0010694,              0.0010694
                     49,                 2.2812,                 1.2394,                0.83825,                0.76309,                0.51485,                 0.6073,                0.20693,                  2.247,                 1.1198,                0.79568,              0.0010496,              0.0010496,              0.0010496
                     50,                 2.3319,                 1.3102,                 0.8392,                0.84357,                0.44554,                0.56383,                0.22798,                 1.9711,                 1.0514,                 0.7911,              0.0010298,              0.0010298,              0.0010298
                     51,                 2.1864,                 1.1334,                0.83385,                0.76474,                0.57426,                0.64242,                0.24483,                 2.1983,                 1.0232,                 0.7977,                0.00101,                0.00101,                0.00101
                     52,                 2.3143,                 1.2249,                 0.8362,                0.73387,                0.51879,                 0.6211,                0.25032,                 1.9507,                 1.0211,                0.79615,              0.0009902,              0.0009902,              0.0009902
                     53,                  2.145,                 1.1479,                0.83696,                 0.8328,                0.39455,                0.62402,                0.24031,                 2.1433,                 1.2825,                0.79244,              0.0009704,              0.0009704,              0.0009704
                     54,                 2.1754,                 1.1346,                0.83553,                 0.8168,                0.58416,                0.63536,                0.24625,                 2.0221,                 1.0742,                0.79646,              0.0009506,              0.0009506,              0.0009506
                     55,                 2.2026,                 1.1264,                 0.8346,                0.67132,                0.48534,                0.55507,                0.22329,                 2.0904,                 1.0011,                0.78899,              0.0009308,              0.0009308,              0.0009308
                     56,                 2.3925,                 1.2074,                0.84324,                0.85675,                0.49505,                0.58763,                0.20564,                 2.3041,                 1.0101,                0.80047,               0.000911,               0.000911,               0.000911
                     57,                 2.2405,                 1.1307,                0.83766,                0.82072,                0.48515,                 0.6187,                0.23092,                 2.1363,                0.95565,                0.79791,              0.0008912,              0.0008912,              0.0008912
                     58,                 2.3343,                 1.1389,                 0.8388,                0.74003,                0.50734,                0.61301,                0.20054,                 2.1193,                 1.1159,                0.79117,              0.0008714,              0.0008714,              0.0008714
                     59,                 2.2083,                 1.1201,                 0.8242,                0.74865,                0.55446,                0.63163,                0.21624,                  2.119,                 1.1395,                0.80039,              0.0008516,              0.0008516,              0.0008516
                     60,                 2.1379,                 1.0597,                0.84982,                 0.8541,                0.52169,                0.65104,                0.24314,                 2.0006,                 1.1429,                0.79459,              0.0008318,              0.0008318,              0.0008318
                     61,                 2.1714,                 1.0389,                0.82964,                0.80214,                0.52185,                0.60505,                0.24092,                 2.0689,                 1.0251,                0.79751,               0.000812,               0.000812,               0.000812
                     62,                 2.1158,                 1.0162,                 0.8311,                0.89096,                 0.5663,                0.64956,                0.24912,                 2.2823,                 1.0979,                0.80283,              0.0007922,              0.0007922,              0.0007922
                     63,                  2.153,                 1.0729,                0.83808,                0.71783,                0.47859,                0.56361,                0.22973,                  2.105,                0.94971,                0.78984,              0.0007724,              0.0007724,              0.0007724
                     64,                 2.0053,                0.98478,                0.82431,                0.79913,                0.59087,                 0.6385,                   0.27,                 2.0127,                0.84815,                0.79003,              0.0007526,              0.0007526,              0.0007526
                     65,                 2.0807,                 1.0339,                0.83698,                0.75011,                0.47525,                0.60879,                0.24095,                 2.0608,                0.93007,                 0.7983,              0.0007328,              0.0007328,              0.0007328
                     66,                 2.0442,                 1.0342,                0.83973,                0.89952,                0.53185,                 0.6979,                0.27102,                 1.9815,                0.96466,                0.78918,               0.000713,               0.000713,               0.000713
                     67,                 2.0896,                 1.0527,                0.84698,                0.83238,                0.49505,                0.61904,                0.23125,                 2.1047,                0.96526,                0.79048,              0.0006932,              0.0006932,              0.0006932
                     68,                  2.054,                0.99521,                0.82517,                0.83608,                0.55553,                0.68841,                0.26077,                 2.0942,                0.90462,                0.78667,              0.0006734,              0.0006734,              0.0006734
                     69,                 2.0955,                 0.9398,                0.83629,                 0.7851,                0.51485,                0.62559,                0.26181,                 1.9733,                0.92065,                0.78759,              0.0006536,              0.0006536,              0.0006536
                     70,                 2.0603,                  1.007,                0.84147,                0.80002,                0.48515,                0.62065,                0.22556,                 2.1631,                0.98131,                0.79066,              0.0006338,              0.0006338,              0.0006338
                     71,                 2.0349,                0.94628,                 0.8284,                 0.7817,                0.48515,                 0.6257,                0.26366,                 1.8122,                0.91355,                0.78521,               0.000614,               0.000614,               0.000614
                     72,                 2.1592,                 1.0119,                0.83048,                0.74156,                0.42615,                0.54283,                0.19711,                 2.3493,                  1.003,                0.79641,              0.0005942,              0.0005942,              0.0005942
                     73,                  2.161,                 1.0362,                 0.8242,                0.73439,                0.52475,                0.59092,                0.24649,                 1.8822,                0.84851,                0.78564,              0.0005744,              0.0005744,              0.0005744
                     74,                 2.0225,                 0.9551,                 0.8241,                0.76561,                0.52475,                 0.6161,                0.26005,                 1.9542,                0.91352,                0.78237,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.9825,                0.98655,                0.81843,                0.88825,                 0.5509,                0.66667,                0.26076,                 2.0235,                0.86765,                0.78929,              0.0005348,              0.0005348,              0.0005348
                     76,                 2.1111,                0.95423,                0.84248,                0.87261,                0.50495,                0.63789,                0.25061,                 2.0732,                0.92586,                0.79159,               0.000515,               0.000515,               0.000515
                     77,                 2.0894,                0.99349,                0.82658,                0.86581,                 0.5111,                0.62518,                0.24569,                 2.1572,                0.97689,                0.78807,              0.0004952,              0.0004952,              0.0004952
                     78,                 2.0915,                 1.0366,                0.83723,                0.87608,                0.49002,                0.62289,                 0.2672,                 2.0773,                0.91032,                0.78914,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.9124,                0.96341,                0.82535,                0.86215,                0.49539,                0.62463,                0.25188,                 2.0442,                0.89637,                0.78882,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.9953,                0.99986,                0.83155,                 0.7988,                0.51106,                 0.6201,                0.25076,                 2.1982,                0.92603,                0.78941,              0.0004358,              0.0004358,              0.0004358
                     81,                 2.0791,                 1.0804,                0.81889,                0.86594,                0.51168,                 0.6278,                0.25113,                 2.1359,                0.89571,                0.79111,               0.000416,               0.000416,               0.000416
                     82,                 1.9688,                0.93325,                0.82508,                0.85009,                0.53465,                0.66382,                0.26892,                 2.1011,                0.82689,                0.78854,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.8565,                0.88878,                0.83278,                0.86537,                0.50918,                0.62534,                0.27342,                 1.9808,                0.84367,                0.78341,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.9285,                0.94323,                0.81889,                0.79201,                0.47525,                0.57177,                0.23302,                 2.0939,                   0.91,                0.78849,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.9073,                 0.8702,                0.82658,                0.83162,                0.53465,                0.64027,                0.26595,                 1.9279,                 0.8646,                0.78203,              0.0003368,              0.0003368,              0.0003368
                     86,                 2.0171,                 0.9288,                0.82118,                0.78296,                0.52475,                0.63179,                0.25898,                 2.0624,                0.85515,                0.78607,               0.000317,               0.000317,               0.000317
                     87,                  1.859,                0.82147,                0.83761,                0.88271,                0.52162,                0.66176,                 0.2857,                 1.9481,                0.83934,                0.78194,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.8879,                0.86195,                0.82711,                0.88525,                0.53466,                0.67549,                0.26592,                 2.1383,                0.86701,                0.79033,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.9146,                0.85879,                0.81536,                0.87827,                0.50007,                0.64523,                0.27152,                  2.065,                0.87341,                0.78777,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.8851,                0.80853,                0.80444,                0.86433,                0.50464,                0.64102,                0.26645,                 2.0206,                0.87431,                0.78479,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.8226,                0.92826,                 0.8374,                0.84172,                0.47389,                0.59338,                0.25055,                 2.0323,                0.91647,                0.78863,               0.000218,               0.000218,               0.000218
                     92,                 1.8013,                0.85353,                 0.8342,                0.74487,                0.49144,                0.58867,                0.24278,                  2.065,                0.96594,                0.78767,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.7854,                0.81129,                 0.8306,                0.82122,                0.50495,                0.63219,                0.26939,                 1.9896,                0.88697,                0.79046,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.7525,                0.79648,                0.83085,                0.78672,                0.49505,                0.61449,                0.27655,                 1.9865,                 0.8578,                0.79021,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.8574,                0.82668,                0.83858,                0.78886,                0.50495,                0.61923,                0.28066,                  1.998,                0.84314,                0.79006,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.7951,                0.82845,                0.82106,                0.82456,                0.50495,                0.62216,                0.26666,                 2.0082,                0.84336,                0.78593,               0.000119,               0.000119,               0.000119
                     97,                 1.8034,                0.82459,                0.81846,                0.82822,                0.50495,                0.61796,                0.25425,                 1.9815,                0.84254,                0.78737,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.7836,                0.85687,                  0.815,                0.82536,                0.53465,                0.65306,                 0.2854,                 1.9305,                0.81219,                0.78756,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.6988,                 0.7813,                 0.8139,                0.84461,                0.53821,                 0.6548,                0.29717,                 1.9291,                0.79407,                0.78697,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.7522,                0.81569,                0.83404,                0.83746,                0.53465,                0.65786,                0.29556,                 1.9214,                0.80193,                0.78644,               3.98e-05,               3.98e-05,               3.98e-05
